title,author,note_link,author_link,author_img,like
口味夹心🍰图,我是西施,https://www.xiaohongshu.com/explore/6648468c000000001500bee3?xsec_token=ABXPqL9AST2kPwhPM3jkWlpqdTBG6MYYMQ2OqAHPkIhH4=&xsec_source=pc_search,,,
芥末腻害！？冬天就要吃巧克力蛋糕啊！,Falanc法乐希蛋糕,https://www.xiaohongshu.com/explore/672c9a940000000019014165?xsec_token=ABGQ-sRluCoCZjjwsyREy_SEzBG7eZ3mex4mglC0sy97U=&xsec_source=pc_search,,,
🍰虎皮蛋糕，早餐新宠！真的超好吃,皇太后御食生活,https://www.xiaohongshu.com/explore/65e58aac0000000003036404?xsec_token=ABTV4D4bLlRhJzGaSiZsy0J8BdEYxpc8l-C5CacnKWOo0=&xsec_source=pc_search,,,
北京生日蛋糕5选1,睡醒没,https://www.xiaohongshu.com/explore/65c1a725000000002d00250b?xsec_token=ABpLnqzkBD8FTTIDuStE0E5dxEYx1f1WNkRojjmwPRqE8=&xsec_source=pc_search,,,
北京｜天花板甜品店合集🍧,小汤圆呀,https://www.xiaohongshu.com/explore/672f8bdf000000003c01e9b9?xsec_token=AB9r9TJvZewyts24KeDN2MKpnsODCG0a_O4JbbLv1P4J4=&xsec_source=pc_search,,,
自评🈚️广！上海生日蛋糕Top榜！好买不踩雷！,招财婧宝,https://www.xiaohongshu.com/explore/65db03e9000000000102b929?xsec_token=AB6wAVRB2TX7Z0S865eyguHcfzziC1fF9BVHoWmc-WijA=&xsec_source=pc_search,,,
别再拿我和某姆千层比较了！没可比性,桃喜品质千层甜品店,https://www.xiaohongshu.com/explore/65ff93ee000000000d00d5fe?xsec_token=ABBPWyoFd_CupjXfGrqrXnB6pTlhhIMFiWL1hW4IuYp6Q=&xsec_source=pc_search,,,
我愿称之为世界上最好吃的小蛋糕,甜品脑袋,https://www.xiaohongshu.com/explore/672ac93e000000001b0290f5?xsec_token=AByJXIZKdBH4mn3v_r1hY8dRHrrKZsrrzrkcFI2LQHg3Y=&xsec_source=pc_search,,,
我去！这个蛋糕用光了美拉德色系！,Falanc法乐希蛋糕,https://www.xiaohongshu.com/explore/6683c15f000000001c0274dd?xsec_token=ABUFuU2VSIShhYBpGaoXIk-C25dji2pCfEFuRp3neEyN4=&xsec_source=pc_search,,,
山姆蛋糕竟然是0添加，也太健康了吧！闭眼入,营养师大瑞瑞,https://www.xiaohongshu.com/explore/66ed476b000000001e01a008?xsec_token=ABgR9wOi19pbm6AXoiDetbT6OGxG_yTNIRZKz7xG3zrhU=&xsec_source=pc_search,,,
🍰虎皮蛋糕，早餐新宠！真的超好吃,皇太后御食生活,https://www.xiaohongshu.com/explore/65e58aac0000000003036404?xsec_token=ABTV4D4bLlRhJzGaSiZsy0J8BdEYxpc8l-C5CacnKWOo0=&xsec_source=pc_search,,,
北京，个人认为无法超越的18家生日蛋糕..🎂,涵burger,https://www.xiaohongshu.com/explore/677a7cbd000000000b020261?xsec_token=ABqtkQoU3n3LtPYIaAz2MZj-BQNPTS7-f339I-GYGfN6c=&xsec_source=pc_search,,,
啊啊啊啊，破防了，真的绝美！,CAKEBOSS,https://www.xiaohongshu.com/explore/6498ff9c0000000013006312?xsec_token=ABf7GNbmv-UgClj3EIv4hPG9VWtcONBm5B99zMFjFz8og=&xsec_source=pc_search,,,
馅料多多❗️巧克力奶酪罐子｜就问谁不迷糊,吐司耶耶甜品站,https://www.xiaohongshu.com/explore/66bc7d71000000001e01cc6e?xsec_token=AB0Ul9vVBjchCJlbO-Guob2V4WTSx_qXZRJO12X5XtHjU=&xsec_source=pc_search,,,
男朋友送的，好吃到想跟他原地结婚😭😭😭！！！,小梧桐小梧桐,https://www.xiaohongshu.com/explore/64e34346000000000b02bb05?xsec_token=ABpIEKRGMlOUCIwZWkYhq74XtfO4jcdNAPFpM2jyj3L30=&xsec_source=pc_search,,,
大概是今年吃过最棒的蛋糕（没有之一）了！！,及时马克功课,https://www.xiaohongshu.com/explore/67051af0000000002c02f204?xsec_token=ABb5rLbC4hBpI5XsP4UeZ0d9SLGYD9PjI9wkcnHeX5IEI=&xsec_source=pc_search,,,
挖蛋糕罐子的快乐‼️甜品脑袋真的没法拒绝,圆圆就爱吃,https://www.xiaohongshu.com/explore/664abfee000000001601186f?xsec_token=ABPe0YEioQtEFS5GCa56JE7BF1x3JHN2pHzFrBMdcA3Hk=&xsec_source=pc_search,,,
北京生日蛋糕5选1,睡醒没,https://www.xiaohongshu.com/explore/65c1a725000000002d00250b?xsec_token=ABpLnqzkBD8FTTIDuStE0E5dxEYx1f1WNkRojjmwPRqE8=&xsec_source=pc_search,,,
“从发出到收到，不到24小时”什么概念？,桃喜品质千层甜品店,https://www.xiaohongshu.com/explore/65f82ca5000000000d00c9dc?xsec_token=AB5aPymr31awngc-jlay4Q8XLy_Wbai9ax9Nd-xFjo-vQ=&xsec_source=pc_search,,,
这家蛋糕又在默默内卷了...,Falanc法乐希蛋糕,https://www.xiaohongshu.com/explore/6731ca8b000000001b02da7d?xsec_token=ABNl70XFb8ZOXdf4mfzVl1sHg88odQczvb38bun2B3ta0=&xsec_source=pc_search,,,
橙路新品首发 | 桃子压枝垂，福寿康宁来🏮,橙路蛋糕TRUEONLY,https://www.xiaohongshu.com/explore/66ced5e0000000001f01b637?xsec_token=ABk5yUJaHWYvsVhW1azyxsAkOvz7ct_1NUzKVq4YDWeag=&xsec_source=pc_search,,,
一次到手四大罐 吃起来真的超过瘾,美事客烘焙甜品,https://www.xiaohongshu.com/explore/676e533d000000000902fd12?xsec_token=AB8MsFfYqBU8XEfqDYtnzEAGkIRM0gFzQ7mF3BV41j4VI=&xsec_source=pc_search,,,
迄今为止吃到最好吃的老式蛋糕,吃货惦惦,https://www.xiaohongshu.com/explore/6639f1d9000000001e0342ff?xsec_token=ABeJeFjt0BhES0yW0SRVloOi4pRZ2n60-C7BRnzJYHspA=&xsec_source=pc_search,,,
北京｜天花板甜品店合集🍧,小汤圆呀,https://www.xiaohongshu.com/explore/672f8bdf000000003c01e9b9?xsec_token=AB9r9TJvZewyts24KeDN2MKpnsODCG0a_O4JbbLv1P4J4=&xsec_source=pc_search,,,
救命啊！！家人们这东西也忒好吃了😭！,木槿季,https://www.xiaohongshu.com/explore/65705577000000000602b055?xsec_token=ABztcWWr3TcnETkUDE8adXcBlcCevz15YogkGfcvfxfUA=&xsec_source=pc_search,,,
